Number,Company,Product,TypeName,Inches,Cpu,Gpu,OpSys,Weight_KG,Ram_GB,IPS,Full HD,Touchscreen,Four_K,HDD,SSD,Flash_Storage,Memory_GB,Price_RM,Price-Filter,ResolutionSize,Cpu2,ScoreCPU$ï..Score,Processor_base,ScorePB$ï..Score,Total_CPU_Score,Simple.Media.Editing,Heavy.Pro.Media.Editing..3D.Design.etc.,Developer,Casual.Gaming,Heavy.Gaming,Documents,Heavy.Book.Keeping,Web.Browsing,V2,Purpose.Filter,Time.Filter,ScreenSize.Filter,OS.Filter
191,Acer,C740-C9QX (3205U/2GB/32GB/Chrome,Netbook,11.6,Intel Celeron Dual Core 3205U 1.5GHz,Intel HD Graphics,Chrome OS,1.3,2,0,0,0,0,0,1,0,32,863,RM 800-1500,1366x768,Intel Celeron Dual Core 3205U ,3,1.5GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Very small (10-12 inch),Chrome
212,Asus,Vivobook E200HA,Netbook,11.6,Intel Atom x5-Z8350 1.44GHz,Intel HD Graphics 400,Windows 10,0.98,2,0,0,0,0,0,0,1,32,952,RM 800-1500,1366x768,Intel Atom x5-Z8350 ,3,1.44GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Very small (10-12 inch),Windows
214,Vero,V131 (X5-Z8350/4GB/32GB/FHD/W10),Notebook,13.3,Intel Atom X5-Z8350 1.44GHz,Intel HD Graphics 400,Windows 10,1.35,4,0,1,0,0,0,0,1,32,972,RM 800-1500,1920x1080,Intel Atom X5-Z8350 ,3,1.44GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Small (12.1-14.0 inch),Windows
72,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14,AMD E-Series E2-6110 1.5GHz,AMD Radeon R2,Windows 10,1.65,2,0,0,0,0,0,0,1,32,987,RM 800-1500,1366x768,AMD E-Series E2-6110 ,2,1.5GHz,1,2,1,0,0,1,0,1,0,1,7,Simple Media Editing,Most of the time (Daily),Small (12.1-14.0 inch),Windows
188,Acer,Chromebook C910-C2ST,Notebook,16,Intel Celeron Dual Core 3205U 1.5GHz,Intel HD Graphics,Chrome OS,2.19,2,0,0,0,0,0,1,0,16,987,RM 800-1500,1366x768,Intel Celeron Dual Core 3205U ,3,1.5GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Occasionally(Few time per week),Medium (14 -16.9),Chrome
281,Vero,K146 (N3350/4GB/32GB/W10),Notebook,14,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,Windows 10,1.22,4,0,0,0,0,0,0,1,32,1006,RM 800-1500,1920x1080,Intel Celeron Dual Core N3350 ,3,1.1GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Small (12.1-14.0 inch),Windows
190,Acer,Chromebook 15,Notebook,15.6,Intel Celeron Dual Core 3205U 1.5GHz,Intel HD Graphics,Chrome OS,2.2,4,0,0,0,0,0,1,0,16,1037,RM 800-1500,1366x768,Intel Celeron Dual Core 3205U ,3,1.5GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Occasionally(Few time per week),Medium (14 -16.9),Chrome
241,HP,Stream 11-Y000na,Netbook,11.6,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,Windows 10,1.17,2,0,0,0,0,0,0,1,32,1037,RM 800-1500,1366x768,Intel Celeron Dual Core N3060 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Very small (10-12 inch),Windows
243,HP,Stream 11-Y000na,Netbook,11.6,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,Windows 10,1.17,2,0,0,0,0,0,0,1,32,1037,RM 800-1500,1366x768,Intel Celeron Dual Core N3060 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Very small (10-12 inch),Windows
245,HP,Stream 11-Y000na,Netbook,11.6,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,Windows 10,1.17,2,0,0,0,0,0,0,1,32,1037,RM 800-1500,1366x768,Intel Celeron Dual Core N3060 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Very small (10-12 inch),Windows
213,Vero,V142 (X5-Z8350/2GB/32GB/W10),Notebook,14,Intel Atom X5-Z8350 1.44GHz,Intel HD Graphics 400,Windows 10,1.45,2,0,0,0,0,0,0,1,32,1046,RM 800-1500,1366x768,Intel Atom X5-Z8350 ,3,1.44GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Small (12.1-14.0 inch),Windows
275,Asus,A541NA-GO342 (N3350/4GB/500GB/Linux),Notebook,15.6,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,Linux,2,4,0,0,0,0,1,0,0,500,1111,RM 800-1500,1366x768,Intel Celeron Dual Core N3350 ,3,1.1GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Medium (14 -16.9),Windows
195,Lenovo,IdeaPad 100S-14IBR,Notebook,14,Intel Celeron Dual Core N3050 1.6GHz,Intel HD Graphics,Windows 10,1.5,2,0,0,0,0,0,0,1,64,1136,RM 800-1500,1366x768,Intel Celeron Dual Core N3050 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Small (12.1-14.0 inch),Windows
198,Lenovo,IdeaPad 100S-14IBR,Notebook,14,Intel Celeron Dual Core N3050 1.6GHz,Intel HD Graphics,Windows 10,1.5,2,0,0,0,0,0,0,1,64,1136,RM 800-1500,1366x768,Intel Celeron Dual Core N3050 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Small (12.1-14.0 inch),Windows
201,Lenovo,IdeaPad 100S-14IBR,Notebook,14,Intel Celeron Dual Core N3050 1.6GHz,Intel HD Graphics,Windows 10,1.5,2,0,0,0,0,0,0,1,64,1136,RM 800-1500,1366x768,Intel Celeron Dual Core N3050 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Small (12.1-14.0 inch),Windows
220,HP,Stream 14-AX040wm,Notebook,14,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,Windows 10,1.44,4,0,0,0,0,0,1,0,32,1136,RM 800-1500,1366x768,Intel Celeron Dual Core N3060 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Small (12.1-14.0 inch),Windows
187,Mediacom,SmartBook 140,Notebook,14,Intel Atom x5-Z8350 1.44GHz,Intel HD Graphics,Windows 10,1.4,2,0,1,0,0,0,0,1,32,1185,RM 800-1500,1920x1080,Intel Atom x5-Z8350 ,3,1.44GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Small (12.1-14.0 inch),Windows
183,Chuwi,"LapBook 15.6""",Notebook,15.6,Intel Atom x5-Z8300 1.44GHz,Intel HD Graphics,Windows 10,1.89,4,0,1,0,0,0,0,1,64,1215,RM 800-1500,1920x1080,Intel Atom x5-Z8300 ,3,1.44GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Medium (14 -16.9),Windows
274,Asus,VivoBook E12,Netbook,11.6,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,Windows 10,1.1,2,0,0,0,0,0,0,1,32,1215,RM 800-1500,1366x768,Intel Celeron Dual Core N3350 ,3,1.1GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Very small (10-12 inch),Windows
184,Chuwi,"Lapbook 15,6",Notebook,15.6,Intel Atom x5-Z8350 1.44GHz,Intel HD Graphics,Windows 10,1.89,4,0,1,0,0,0,0,1,64,1235,RM 800-1500,1920x1080,Intel Atom x5-Z8350 ,3,1.44GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Medium (14 -16.9),Windows
186,Mediacom,SmartBook 141,Notebook,14,Intel Atom x5-Z8350 1.44GHz,Intel HD Graphics,Windows 10,1.4,4,0,1,0,0,0,1,0,32,1235,RM 800-1500,1920x1080,Intel Atom x5-Z8350 ,3,1.44GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Small (12.1-14.0 inch),Windows
228,Lenovo,IdeaPad 100S-14IBR,Notebook,14,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,Windows 10,1.42,2,0,0,0,0,0,0,1,32,1235,RM 800-1500,1366x768,Intel Celeron Dual Core N3060 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Small (12.1-14.0 inch),Windows
239,HP,Stream 14-AX000nv,Notebook,14,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,Windows 10,1.44,2,0,0,0,0,0,0,1,32,1235,RM 800-1500,1366x768,Intel Celeron Dual Core N3060 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Small (12.1-14.0 inch),Windows
